CID,SMILES,Estimated Log Kow ,Measured Log Kow  ,Estimated BP (oC),Estimated MP (oC),Estimated VP (mm Hg),Estimated VP (Pa),Estimated Water Sol. (mg/L),HLC (atm-m3/mole); Group Method (Based on Estimated Data),HLC (atm-m3/mole); Bond Method (Based on Estimated Data),Estimated Koc,Estimated Log Koc,BIOWIN1 (Linear Model) Probability ,BIOWIN2 (Non-Linear Model) Probability ,Estimated Atmospheric Oxidation (half-life-days),Indirect Photolysis (Half-Life-days); Measured,Estimated Ozone Reaction (half-life-days),Measured Ozone Reaction (half-life-days),Estimated Hydrolysis (half-life-days),Estimated BCF,Estimated Log BCF,Estimated Volatilization from Model River (half-life-hours),Estimated Volatilization from Model Lake (half-life-hours),STP Biodegradation (%),STP Sludge Adsorption (%),STP Volatilization (%),STP Total Removal (%),AWS_Air,AWS_Water,AWS_Soil,AWS_Sediments,Paws Score-Air,Paws-Score-Water,Paws-Score-Soil,Paws-Score-Sediments,Paws Score (Total),PEQC/aws (half-life-days),PEQC/aws Score,B Score (BCF),B Score (Log Kow),EXPaws Score (BCF),EXPaws Score (Log Kow),EXPEQC/aws Score (BCF),EXPEQC/aws Score (Log Kow),BIOWIN5 (Linear MITI Model) Probability,BIOWIN6 (Non-Linear MITI Model) Probability,BIOWIN3 numerical output ,BIOWIN4 numerical output,Ready biodegradability prediction,STP Total Removal (%) - default,STP Biodegradation (%) - default,STP Adsorption (%) - default,STP Volatilization (%) - default,Subcooled Liquid VP,WATERNT frag Water Sol estimate,KOAWIN LogKoa estimate,KOAWIN LogKoa measured,KOAWIN Log Kaw,AEROWIN Mackay Kp,AEROWIN Octanol/air Kp,AEROWIN Junge-Pankow phi,AEROWIN Mackay phi,AEROWIN Octanol/air phi
10925,CC(CCS)C ,2.67,,116.69,-75.56,15.6,2080.0,599.2,0.00997,0.00812,110.6,2.044,0.6979,0.8218,0.2346,,0.0,,,26.71,1.427,1.102,97.62,0.04,1.8,78.0,79.83,6.5,68.0,25.1,0.425,509,68000,25100,425,94034,3.8,69621,16026,280641,1507,26390,1116,19539,0.4511,0.5782,2.9689,3.6974,NO ,79.83,0.04,1.8,78.0,20.3,431.36,3.149,,-0.479,1.11e-09,3.46e-10,4e-08,8.87e-08,2.77e-08
11086,NC1=C(C=CC=C1)C(C)=O ,1.57,1.63,258.46,51.13,0.0258,3.44,3555.0,4.45e-09,3.47e-09,25.49,1.406,0.4563,0.2191,0.1089,,0.0,,,1.437,0.157,153000.0,1670000.0,0.09,1.92,0.0,2.02,0.0358,28.7,71.1,0.0896,2,100450,248850,314,349616,47.1,856061,862,25595,301,8948,738,21911,0.3034,0.2194,2.743,3.5221,NO ,2.02,0.09,1.92,0.0,0.0253,81418.0,8.478,,-6.848,8.89e-07,7.38e-05,3.21e-05,7.11e-05,0.00587
11124,C(CC)(=O)OC ,0.86,0.84,77.91,-82.08,87.9,11700.0,24100.0,0.000165,0.000233,5.844,0.767,0.8798,0.9971,15.86,10.7,0.0,,742.8,3.162,0.5,4.116,123.6,0.09,1.66,7.86,9.6,18.7,40.4,40.8,0.084,1644,40400,40800,84,82928,10.5,191667,1897,4151,157,344,364,796,0.844,0.9477,3.1447,3.9496,YES ,9.6,0.09,1.66,7.86,84.0,38942.0,2.988,,-2.148,2.68e-10,2.39e-10,9.67e-09,2.14e-08,1.91e-08
11419,CC1CCCCC1=O ,1.54,,170.27,-21.57,3.01,401.3,5142.0,2.81e-05,6.79e-05,28.45,1.454,0.701,0.7237,0.7891,,0.0,,,4.846,0.685,23.15,341.3,0.09,1.87,1.52,3.48,2.29,33.3,64.3,0.101,195,33300,64300,101,97896,15.7,284849,2908,20804,285,2037,828,5926,0.5879,0.7225,2.9288,3.6637,YES ,3.48,0.09,1.87,1.52,2.25,15228.0,4.097,,-2.557,1e-08,3.07e-09,3.61e-07,8e-07,2.46e-07
11428,CCC(CC)O ,1.26,1.21,115.64,-63.68,8.57,1143.0,37700.0,2.28e-05,1.33e-05,5.568,0.746,0.8643,0.9466,0.8199,0.8767,0.0,,,2.92,0.465,28.72,392.0,0.09,1.8,1.09,2.98,2.85,42.6,54.5,0.0879,243,42600,54500,88,97431,13.9,253030,1752,9731,171,948,443,2462,0.66,0.8561,3.1643,3.85,YES ,2.98,0.09,1.8,1.09,8.77,35529.0,4.302,,-3.092,2.57e-09,4.92e-09,9.27e-08,2.05e-07,3.94e-07
11525,CC1CCC(CC1)=O ,1.54,1.38,170.27,-21.57,2.09,278.6,7092.0,2.18e-05,6.79e-05,27.88,1.445,0.701,0.7237,0.7758,,0.0,,,3.78,0.577,29.53,410.9,0.09,1.83,1.19,3.11,2.16,33.5,64.2,0.1,183,33500,64200,100,97983,15.9,289394,2268,14393,222,1410,656,4165,0.5879,0.7225,2.9288,3.6637,YES ,3.11,0.09,1.83,1.19,1.5,15228.0,3.937,,-2.557,1.5e-08,2.12e-09,5.42e-07,1.2e-06,1.7e-07
11527,CCC(CCCCC)O ,2.73,,181.87,-27.45,0.0996,13.28,1379.0,6.43e-05,3.1e-05,33.7,1.528,0.9527,0.984,0.6188,,0.0,,,29.48,1.47,22.72,343.5,0.11,3.8,1.63,5.54,2.66,32.3,65.0,0.0951,224,20995,42250,62,63531,10.5,190152,17688,322219,1124,20471,3363,61270,0.6831,0.8649,3.3697,4.0584,YES ,5.54,0.11,3.8,1.63,0.256,1285.3,5.627,,-2.897,8.79e-08,1.04e-07,3.17e-06,7.03e-06,8.32e-06
11529,C(CC)(=O)OCCCC ,2.34,,148.37,-44.6,4.65,619.9,925.9,0.000445,0.000545,35.37,1.549,0.9682,0.9992,2.129,,0.0,,926.8,16.19,1.209,2.487,122.8,0.09,2.27,18.03,20.39,14.4,34.0,51.5,0.102,1252,22100,33475,66,56893,7.3,132576,9714,131266,553,7468,1288,17403,0.8671,0.9512,3.35,4.1579,YES ,20.39,0.09,2.27,18.03,4.42,1409.0,4.025,,-1.685,5.09e-09,2.6e-09,1.84e-07,4.07e-07,2.08e-07
11567,CC1CCCC(C1)=O ,1.54,,170.27,-21.57,2.14,285.3,5142.0,2.18e-05,6.79e-05,27.88,1.445,0.701,0.7237,0.6259,,0.0,,,4.846,0.685,5.271,146.3,0.09,1.78,6.85,8.72,3.39,34.6,61.9,0.104,285,34600,61900,104,96889,11.9,215909,2908,20804,282,2016,628,4492,0.5879,0.7225,2.9288,3.6637,YES ,8.72,0.09,1.78,6.85,1.5,15228.0,3.758,,-2.218,1.5e-08,1.41e-09,5.42e-07,1.2e-06,1.12e-07
11569,C(C1=CC(=CC=C1)OC)=O ,1.79,1.71,221.63,12.84,0.0742,9.893,3010.0,2.28e-05,7.95e-07,10.0,1.0,1.0993,1.0,0.3738,,0.0,,,6.241,0.795,31.15,437.7,0.09,1.94,1.24,3.27,1.39,40.2,58.4,0.0904,114,40200,58400,90,98804,14.1,256818,3745,30772,370,3040,962,7903,0.947,0.9594,2.8625,3.9251,YES ,3.27,0.09,1.94,1.24,0.0701,3096.1,6.199,,-4.489,3.21e-07,3.88e-07,1.16e-05,2.57e-05,3.11e-05
11583,CC(CCCC)=O ,1.24,1.38,118.79,-55.08,13.6,1813.0,7745.0,0.000112,0.000116,14.98,1.176,0.8151,0.9515,1.582,1.175,0.0,,,3.78,0.577,7.308,163.6,0.09,1.78,4.59,6.46,6.23,35.8,57.9,0.0819,536,23270,37635,53,61494,8.9,162121,2268,14393,139,885,368,2333,0.681,0.8575,3.2537,3.9501,YES ,6.46,0.09,1.78,4.59,11.6,11298.0,3.799,3.68,-2.419,1.94e-09,1.17e-09,7.01e-08,1.55e-07,9.4e-08
11614,C(=O)OCCCC ,1.3,,104.51,-60.49,28.8,3840.0,8958.0,0.000548,0.000562,12.1,1.083,0.9815,0.9994,2.342,3.428,0.0,,6.377,3.343,0.524,2.182,108.5,0.08,1.55,18.43,20.06,22.6,39.2,38.1,0.0856,1975,25480,24765,56,52276,6.4,116667,2006,11972,105,626,234,1397,0.9007,0.9655,3.412,4.1984,YES ,20.06,0.08,1.55,18.43,28.9,7976.5,2.977,,-1.677,7.79e-10,2.33e-10,2.81e-08,6.23e-08,1.86e-08
11617,C(C=C)SCC=C ,2.61,,136.32,-59.48,6.78,903.9,620.5,,0.00136,239.7,2.38,0.6932,0.8001,0.1553,,0.4775,,,24.52,1.39,1.554,106.6,0.08,2.58,34.9,37.55,1.01,27.6,71.0,0.302,75,27600,71000,302,98977,10.2,184849,14712,244428,1456,24193,2719,45182,0.5083,0.5643,2.9468,3.683,YES ,37.55,0.08,2.58,34.9,9.22,279.67,3.868,,-1.258,2.44e-09,1.81e-09,8.81e-08,1.95e-07,1.45e-07
11902,O1C=CC=C1C(=O)OC ,0.95,1.0,159.67,-19.07,0.906,120.8,13300.0,,3.46e-05,36.86,1.567,0.8617,0.995,0.8085,,0.0,,765.5,3.162,0.5,20.15,314.0,0.09,1.77,1.85,3.71,2.34,31.7,65.8,0.107,199,31700,65800,107,97806,15.8,287879,1897,6000,186,587,546,1727,0.7058,0.847,3.0607,3.8947,YES ,3.71,0.09,1.77,1.85,0.824,35360.0,3.849,,-2.849,2.73e-08,1.73e-09,9.86e-07,2.18e-06,1.39e-07
11980,O1C=CC=C1C(=O)OCC ,1.44,1.52,180.88,-7.24,0.318,42.4,4210.0,,4.6e-05,67.18,1.827,0.855,0.9939,0.725,,0.0,,810.7,4.676,0.67,16.28,276.8,0.09,1.85,2.42,4.36,2.07,28.4,69.4,0.13,175,28400,69400,130,98105,16.5,299242,2806,19868,275,1949,840,5945,0.7134,0.8501,3.0297,3.8745,YES ,4.36,0.09,1.85,2.42,0.503,11410.0,4.246,,-2.726,4.47e-08,4.33e-09,1.62e-06,3.58e-06,3.46e-07
12020,C=CC(CC)O ,1.12,,113.89,-65.08,9.13,1217.0,45300.0,,9.88e-06,5.568,0.746,0.8653,0.948,0.2962,,0.955,,,2.555,0.407,55.94,688.1,0.09,1.8,0.55,2.44,0.818,43.1,56.0,0.089,66,43100,56000,89,99255,14.3,259091,1533,7910,152,785,397,2049,0.6348,0.8143,3.1688,3.8529,YES ,2.44,0.09,1.8,0.55,8.44,35921.0,4.514,,-3.394,2.67e-09,8.02e-09,9.63e-08,2.13e-07,6.41e-07
12097,CC1=CC=C(C=O)O1 ,1.38,0.67,165.68,-11.22,0.686,91.46,29100.0,,1.48e-05,9.76,0.989,1.0344,0.9999,0.2064,0.2097,0.0,,,3.162,0.5,42.58,552.5,0.09,1.76,0.82,2.67,0.767,40.4,58.8,0.0905,59,40400,58800,91,99350,14.5,262879,1897,2806,188,279,499,738,0.8538,0.9333,2.9033,3.817,YES ,2.67,0.09,1.76,0.82,0.624,17344.0,3.888,,-3.218,3.61e-08,1.9e-09,1.3e-06,2.88e-06,1.52e-07
12178,CCC(CCC)O ,1.75,1.65,138.62,-51.34,3.15,420.0,14500.0,3.22e-05,1.76e-05,10.15,1.006,0.8576,0.9356,0.7398,,0.0,,,5.697,0.756,15.75,256.6,0.09,1.9,2.13,4.12,2.83,39.9,57.1,0.0902,240,39900,57100,90,97330,13.4,243939,3418,26801,333,2609,834,6538,0.6677,0.8591,3.1333,3.8298,YES ,4.12,0.09,1.9,2.13,4.81,11959.0,4.434,,-2.784,4.68e-09,6.67e-09,1.69e-07,3.74e-07,5.33e-07
12180,C(CCC)(=O)OC ,1.36,1.29,102.3,-69.32,33.2,4426.0,9120.0,0.000234,0.000309,10.65,1.027,0.8731,0.9965,5.66,3.518,0.0,,1209.0,3.297,0.518,3.918,127.5,0.09,1.69,8.99,10.77,13.9,39.9,46.1,0.091,1215,39900,46100,91,87306,10.1,183333,1978,11699,173,1021,363,2145,0.8517,0.9489,3.1137,3.9293,YES ,10.77,0.09,1.69,8.99,32.3,13109.0,3.367,,-2.077,6.97e-10,5.71e-10,2.52e-08,5.57e-08,4.57e-08
12206,C(CCCC)(=O)OC ,1.85,1.96,125.79,-56.83,11.2,1493.0,2196.0,0.00033,0.00041,19.41,1.288,0.9749,0.9993,3.238,,0.0,,1209.0,9.124,0.96,3.084,124.0,0.09,1.9,12.75,14.73,16.5,34.9,48.5,0.0855,1441,22685,31525,56,55707,7.7,139394,5474,54721,305,3048,763,7628,0.8594,0.9501,3.381,4.1782,YES ,14.73,0.09,1.9,12.75,19.1,4329.4,3.846,,-1.886,1.18e-09,1.72e-09,4.25e-08,9.42e-08,1.38e-07
12265,CC1=CC=C(N1(H))C ,1.97,1.47,170.5,-8.13,1.49,198.7,6704.0,1.47e-05,1.11e-05,205.9,2.314,0.8116,0.9433,0.05341,,0.0,,,4.334,0.637,39.85,516.5,0.09,1.86,0.81,2.76,0.147,25.9,73.7,0.253,8,25900,73700,253,99861,18.3,332576,2600,17707,260,1768,865,5889,0.5284,0.6533,2.8392,3.5734,YES ,2.76,0.09,1.86,0.81,0.805,2290.5,4.813,,-3.343,2.8e-08,1.6e-08,1.01e-06,2.24e-06,1.28e-06
12297,CC(CCCC)O ,1.75,1.76,138.62,-51.34,2.94,392.0,11700.0,3.22e-05,1.76e-05,9.695,0.987,0.9661,0.9892,0.8355,0.884,0.0,,,6.734,0.828,25.29,360.6,0.09,1.96,1.33,3.38,3.84,37.4,58.7,0.0783,328,24310,38155,51,62843,9.8,178788,4040,34526,254,2170,722,6173,0.6677,0.8591,3.4317,4.0988,YES ,3.38,0.09,1.96,1.33,2.49,11959.0,4.761,,-3.001,9.04e-09,1.42e-08,3.26e-07,7.23e-07,1.13e-06
12327,C(CCCCCCCCCC)(=O)OCC ,5.28,,264.89,23.22,0.0122,1.627,1.132,0.00354,0.00298,1296.0,3.113,0.9281,0.9972,0.8088,,0.0,,2817.0,60.14,1.779,1.736,141.7,0.6,77.16,10.37,88.14,4.11,20.5,74.5,0.899,350,20500,74500,899,96249,13.0,237121,36084,1000000,3473,96249,8556,237121,0.9132,0.9576,3.164,4.0365,YES ,88.14,0.6,77.16,10.37,0.0043,1.3911,6.194,,-0.914,5.23e-06,3.84e-07,0.000189,0.000418,3.07e-05
12348,C(C)(=O)OCCCCC ,2.34,2.3,148.37,-44.6,4.16,554.6,996.8,0.000445,0.000545,33.79,1.529,0.9682,0.9992,1.776,1.417,0.0,,782.6,15.29,1.184,2.886,127.2,0.09,2.26,14.8,17.15,10.4,34.1,55.4,0.101,898,22165,36010,66,59139,7.5,136364,9174,119716,543,7080,1251,16325,0.8671,0.9512,3.35,4.1579,YES ,17.15,0.09,2.26,14.8,3.5,1409.0,4.1,4.12,-1.8,6.43e-09,3.24e-09,2.32e-07,5.14e-07,2.59e-07
12377,C(CC)SSCCC ,3.84,,200.42,-21.81,0.498,66.39,39.94,,0.00377,436.8,2.64,0.676,0.7057,0.04356,,0.0,,,7.223,0.859,1.441,118.5,0.15,17.4,48.74,66.29,0.495,31.3,67.7,0.55,26,31300,67700,550,99576,8.5,154545,4334,768000,432,76474,670,118691,0.4635,0.4859,2.867,3.6309,NO ,66.29,0.15,17.4,48.74,0.512,32.538,4.652,,-0.812,4.39e-08,1.1e-08,1.59e-06,3.52e-06,8.81e-07
12506,C(C)(=O)OCC1OCCC1 ,0.89,,183.11,-15.73,0.511,68.13,13800.0,9.09e-08,2.67e-07,10.0,1.0,0.5057,0.8336,0.5021,,0.0,,304.8,3.162,0.5,2634.0,28800.0,0.09,1.79,0.02,1.89,1.11,38.0,60.8,0.0856,92,38000,60800,86,98978,17.0,309848,1897,4657,188,461,588,1443,0.7499,0.8496,3.0121,3.859,YES ,1.89,0.09,1.79,0.02,0.466,75705.0,5.852,,-4.962,4.83e-08,1.75e-07,1.74e-06,3.86e-06,1.4e-05
12580,C(CC)C1=CC=C(C=C1)O ,3.04,3.2,229.65,38.3,0.0309,4.12,610.7,1.54e-06,1.09e-06,1044.0,3.019,0.8532,0.9283,0.2475,,0.0,,,60.03,1.778,600.6,6649.0,0.14,7.65,0.06,7.86,0.552,24.5,74.1,0.899,43,24500,74100,899,99542,19.6,356061,36018,640000,3585,63707,12825,227879,0.3982,0.4718,2.8797,3.6224,NO ,7.86,0.14,7.65,0.06,0.0375,1669.2,7.532,,-4.332,6e-07,8.36e-06,2.17e-05,4.8e-05,0.000668
12587,CC(CCC(=O)O)C ,1.98,,195.8,15.24,0.352,46.93,5266.0,1.41e-06,1.7e-06,7.33,0.865,0.7649,0.881,1.939,,0.0,,,3.162,0.5,448.6,4985.0,0.1,2.13,0.08,2.31,4.87,36.8,58.3,0.0738,423,23920,37895,48,62286,11.0,200758,1897,57300,118,3569,381,11503,0.5967,0.7512,3.3071,4.0657,YES ,2.31,0.1,2.13,0.08,0.322,17781.0,6.138,,-4.158,6.99e-08,3.37e-07,2.52e-06,5.59e-06,2.7e-05
12741,CC(CCCCCCCC)=O ,3.2,3.73,204.79,-7.43,0.321,42.8,46.43,0.000445,0.00036,165.2,2.218,0.7884,0.8985,0.8617,0.8103,0.0,,,134.3,2.128,2.92,136.7,0.21,17.83,13.53,31.57,3.82,24.1,71.9,0.2,325,24100,71900,200,96525,13.3,240909,80580,746000,7778,72008,19412,179718,0.7117,0.8691,3.1297,3.8691,YES ,31.57,0.21,17.83,13.53,0.269,125.34,5.562,,-1.832,8.36e-08,8.95e-08,3.02e-06,6.69e-06,7.16e-06
12748,CC1=CSC=N1 ,1.54,0.97,147.45,6.14,8.62,1149.0,17500.0,,4.23e-06,128.3,2.108,0.755,0.8982,2.822,,0.0,,,3.162,0.5,138.8,1598.0,0.09,1.79,0.24,2.12,3.47,26.5,69.8,0.183,303,26500,69800,183,96786,19.4,352273,1897,5600,184,542,668,1973,0.4751,0.5525,2.9052,3.6362,NO ,2.12,0.09,1.79,0.24,8.6,9220.8,4.732,,-3.762,2.62e-09,1.32e-08,9.45e-08,2.09e-07,1.06e-06
12810,C(C1OC(CCC1)=O)CCCC ,2.57,,283.16,18.86,0.00475,0.6333,393.8,0.000239,0.000562,218.7,2.34,0.9491,0.9985,0.7962,,0.0,,,22.95,1.361,4.528,158.8,0.1,2.99,10.03,13.12,3.83,24.9,71.1,0.205,326,16185,46215,133,62859,10.3,187879,13770,222921,866,14013,2587,41882,0.8191,0.9148,3.2615,4.1001,YES ,13.12,0.1,2.99,10.03,0.00475,116.33,4.209,,-1.639,4.74e-06,3.97e-09,0.000171,0.000379,3.18e-07
12813,C(C1OC(=O)CC1)CCCCC ,2.57,2.72,281.72,20.2,0.00512,0.6826,291.6,0.000239,0.000562,218.7,2.34,0.9491,0.9985,0.9631,,0.0,,,28.95,1.462,4.528,158.8,0.1,3.55,9.97,13.62,4.4,24.8,70.6,0.204,376,16120,45890,133,62519,10.4,188636,17370,314884,1086,19686,3277,59399,0.8488,0.9287,3.2615,4.1001,YES ,13.62,0.1,3.55,9.97,0.00512,72.361,4.359,,-1.639,4.39e-06,5.61e-09,0.000159,0.000351,4.49e-07
13187,CC(CCCCCCC)=O ,2.71,3.14,184.65,-18.94,0.647,86.26,170.6,0.000315,0.000271,90.66,1.957,0.7951,0.9153,0.9724,0.8767,0.0,,,54.8,1.739,3.12,134.0,0.12,6.41,13.5,20.03,4.58,27.5,67.7,0.151,391,27500,67700,151,95742,12.2,221212,32880,628000,3148,60126,7273,138921,0.704,0.8663,3.1607,3.8894,YES ,20.03,0.12,6.41,13.5,0.624,392.88,4.964,,-1.824,3.61e-08,2.26e-08,1.3e-06,2.88e-06,1.81e-06
13204,CC1OC(CCC1)=O ,0.6,,213.18,-24.11,0.186,24.8,32200.0,6e-05,0.000181,18.94,1.277,0.8674,0.9958,1.492,,0.0,,,3.162,0.5,11.52,215.2,0.09,1.72,3.09,4.9,4.72,35.6,59.6,0.0934,408,35600,59600,93,95701,13.9,252273,1897,2389,182,229,479,603,0.7883,0.9069,3.0871,3.912,YES ,4.9,0.09,1.72,3.09,0.172,10968.0,2.731,,-2.131,1.31e-07,1.32e-10,4.72e-06,1.05e-05,1.06e-08
13216,C2C1CCCCC1CCC2O ,2.66,,240.31,17.17,0.00606,0.8079,1263.0,2.45e-06,6.71e-06,119.2,2.076,0.8328,0.8739,0.3886,,0.0,,,26.35,1.421,298.1,3356.0,0.11,3.53,0.14,3.78,0.895,27.5,71.5,0.181,73,27500,71500,181,99254,18.5,337121,15810,274253,1569,27221,5330,92456,0.5898,0.5852,3.0183,3.7546,YES ,3.78,0.11,3.53,0.14,0.00576,1371.8,6.222,,-3.562,3.91e-06,4.09e-07,0.000141,0.000312,3.27e-05
13436,C1(=CC=CC=C1)SSC2=CC=CC=C2 ,4.31,4.41,336.9,78.27,0.000518,0.06906,6.019,,4.85e-05,16700.0,4.222,0.8998,0.9709,0.04276,,0.0,,,17.23,1.236,19.38,335.3,0.48,50.37,1.18,52.03,0.111,19.8,70.5,9.64,6,19800,70500,9640,99946,20.5,371970,10338,882000,1033,88152,3845,328077,0.1448,0.0707,2.7607,3.5425,NO ,52.03,0.48,50.37,1.18,0.000511,1.0632,7.114,,-2.704,4.4e-05,3.19e-06,0.00159,0.00351,0.000255
13561,CCCCCC(CCCCC)=O ,3.69,,224.03,3.83,0.14,18.67,42.95,0.000629,0.000478,315.1,2.498,0.8902,0.9786,0.6626,,0.0,,,127.1,2.104,4.743,161.2,0.21,17.15,7.99,25.36,3.14,24.3,72.3,0.256,265,15795,46995,166,63221,10.6,192424,76260,738000,4821,46657,14674,142009,0.7194,0.8719,3.397,4.118,YES ,25.36,0.21,17.15,7.99,0.05,39.664,5.728,,-2.038,4.5e-07,1.31e-07,1.63e-05,3.6e-05,1.05e-05
14104,CC1=CC(=C(C=C1)C(C)C)OC ,4.08,,219.0,6.74,0.138,18.4,21.57,0.0107,0.000684,732.0,2.865,0.9106,0.9834,0.1511,,0.0,,,227.6,2.357,1.378,122.5,0.13,22.73,61.56,84.43,1.98,38.9,57.6,1.57,146,136150,201600,5495,343391,8.5,155303,136560,816000,46893,280207,21208,126727,0.4763,0.5237,2.6284,3.5508,NO ,84.43,0.13,22.73,61.56,0.128,16.658,5.633,,-1.553,1.76e-07,1.05e-07,6.35e-06,1.41e-05,8.44e-06
14228,C(CCCCCCC)(=O)OCCCCCC ,5.78,,281.15,25.16,0.00701,0.9346,0.3631,0.00499,0.00396,2361.0,3.373,1.0299,0.9995,0.7267,,0.0,,1509.0,126.8,2.103,1.719,145.5,0.69,86.01,5.39,92.09,4.49,22.1,72.3,1.07,380,14365,46995,696,62436,9.5,171970,76080,1000000,4750,62436,13083,171970,0.9208,0.9586,3.4314,4.2853,YES ,92.09,0.69,86.01,5.39,0.00728,0.4304,6.571,,-0.791,3.09e-06,9.14e-07,0.000112,0.000247,7.31e-05
14257,CCCCCCCCCCC ,5.74,,185.61,-32.36,0.629,83.86,0.2571,9.52,7.04,2644.0,3.422,0.89,0.9888,0.8541,0.8103,0.0,,,120.9,2.082,1.276,118.8,0.18,57.81,41.86,99.85,23.7,68.1,4.59,3.65,2016,44265,2984,2373,51637,3.0,54773,72540,1000000,3746,51637,3973,54773,0.6927,0.8718,3.4504,4.1604,YES ,99.85,0.18,57.81,41.86,0.412,0.029256,3.843,,1.897,5.46e-08,1.71e-09,1.97e-06,4.37e-06,1.37e-07
14286,C(C)(=O)C1=NC=CC=C1 ,0.49,0.85,199.26,23.03,0.537,71.59,18700.0,,1.28e-08,25.51,1.407,0.5421,0.3095,24.35,,0.0,,,3.162,0.5,50400.0,549000.0,0.09,1.78,0.0,1.88,0.13,27.3,72.5,0.0851,11,95550,253750,298,349609,53.8,977273,1897,4248,663,1485,1854,4151,0.4693,0.4755,2.6948,3.632,NO ,1.88,0.09,1.78,0.0,0.489,1000000.0,7.131,,-6.281,4.6e-08,3.32e-06,1.66e-06,3.68e-06,0.000265
14296,CC1=NC(=C(N=C1C)C)C ,2.13,1.28,209.39,34.91,0.147,19.6,7007.0,2.45e-08,4.33e-06,254.7,2.406,0.9014,0.9672,3.689,,0.0,,,3.247,0.511,159.0,1832.0,0.09,1.83,0.24,2.16,1.81,20.2,77.7,0.295,158,70700,271950,1033,343841,42.5,772727,1948,11433,670,3931,1505,8834,0.4728,0.4558,2.5988,3.3771,NO ,2.16,0.09,1.83,0.24,0.539,7311.8,5.032,,-3.752,4.17e-08,2.64e-08,1.51e-06,3.34e-06,2.11e-06
14328,COC1=C(C=CC(=C1)C(C)=O)OC ,1.32,,265.34,58.21,0.00224,0.2986,4110.0,7.22e-06,3.43e-08,21.72,1.337,0.9324,0.9889,0.5714,,0.0,,,0.8952,-0.048,110.2,1315.0,0.09,1.83,0.4,2.33,0.929,36.8,62.1,0.108,78,128800,217350,378,346606,28.7,521212,537,12536,186,4345,280,6534,0.7101,0.7722,2.6622,3.7198,NO ,2.33,0.09,1.83,0.4,0.00388,2041.9,7.173,,-5.853,5.8e-06,3.66e-06,0.000209,0.000464,0.000292
14491,C(CCCCCS)S ,3.18,,223.64,-12.97,0.109,14.53,146.9,8.1e-05,0.000382,436.8,2.64,0.676,0.7057,0.1208,,0.0,,,57.83,1.762,10.11,213.1,0.13,7.25,3.8,11.19,0.381,22.6,76.6,0.397,27,22600,76600,397,99624,17.8,322727,34698,636000,3457,63361,11198,205255,0.5615,0.6822,2.867,3.6309,YES ,11.19,0.13,7.25,3.8,0.102,26.895,4.986,,-1.806,2.21e-07,2.38e-08,7.97e-06,1.76e-05,1.9e-06
14514,C(C)(=O)C1=CC=C(O1)C ,1.34,,174.56,0.98,1.26,168.0,6908.0,,1.08e-05,45.64,1.659,0.7499,0.7974,0.1107,,0.0,,,0.9288,-0.032,61.54,764.8,0.09,1.83,0.6,2.53,0.333,31.3,68.3,0.116,23,31300,68300,116,99739,16.8,306061,557,13127,56,1309,171,4018,0.5189,0.5847,2.8275,3.5779,YES ,2.53,0.09,1.83,0.6,1.14,20706.0,4.695,,-3.355,1.97e-08,1.22e-08,7.13e-07,1.58e-06,9.73e-07
14525,CC12C(=O)C(C(C1)CC2)(C)C ,3.04,3.52,203.89,28.07,0.721,96.13,73.14,,7e-05,114.8,2.06,0.314,0.0451,0.8998,,0.0,,,97.61,1.989,11.58,229.8,0.18,13.09,3.11,16.38,1.52,21.9,76.5,0.163,130,76650,267750,571,345100,31.6,574242,58566,704000,20211,242951,33631,404267,0.5851,0.5988,2.416,3.299,NO ,16.38,0.18,13.09,3.11,0.817,706.1,6.063,,-2.543,2.75e-08,2.84e-07,9.95e-07,2.2e-06,2.27e-05
15037,C(C1=CC=CO1)N2C=CC=C2 ,2.5,,224.28,31.64,0.0858,11.44,568.0,,1.56e-05,2758.0,3.441,0.6775,0.7148,0.05323,,0.0,,,20.84,1.319,46.77,611.9,0.1,2.98,0.85,3.93,0.137,23.4,74.4,2.06,8,23400,74400,2060,99868,19.3,350758,12504,189737,1249,18949,4386,66552,0.2761,0.2676,2.8739,3.6354,NO ,3.93,0.1,2.98,0.85,0.0984,762.62,5.695,,-3.195,2.29e-07,1.22e-07,8.26e-06,1.83e-05,9.73e-06
15380,CSCSC ,1.8,,136.67,-57.32,4.4,586.6,3209.0,,8.38e-06,72.17,1.858,0.696,0.8134,0.1716,,0.0,,,7.141,0.854,73.74,891.7,0.09,2.0,0.47,2.56,0.47,29.2,70.2,0.139,35,29200,70200,139,99574,17.6,319697,4285,37857,427,3770,1370,12103,0.4404,0.4675,2.96,3.6916,NO ,2.56,0.09,2.0,0.47,4.03,8043.2,5.265,,-3.465,5.58e-09,4.52e-08,2.02e-07,4.47e-07,3.61e-06
